run_id,plot_size_mb,deadline_s,commitment_ratio,energy_j,energy_wh,avg_block_interval,avg_tx_rate,n_deadlocks,deadlock_rate,p_51_attack,gini,effective_capacity_tib,throughput_efficiency
0,10.457075619631645,221.28028608767107,0.24810487291470976,1186.9093895037163,0.3296970526399212,217.8780810323347,1446.517642839328,105,0.21,0.40151610166823215,0.47590677003383136,2.474261682193965e-06,0.068
1,10.36634426000764,252.2072097614194,0.23367628268139765,1187.6572951511255,0.329904804208646,255.52950729946699,1520.0525945836648,125,0.25,0.4130589738548819,0.5095845415413583,2.3101509014837545e-06,0.0
2,12.168944099341418,241.84149251352505,0.24352892999985215,1292.110935785755,0.3589197043849319,234.90977139496283,1497.739396930294,118,0.236,0.4051768560001182,0.5070994924362516,2.8262042386442474e-06,0.002
3,9.313202190502656,228.78854372126244,0.24146113228543908,1257.5015028070252,0.34930597300195143,235.91866594049318,1408.045882676295,101,0.202,0.4068310941716487,0.5063644576597457,2.144600244638446e-06,0.028
4,9.245626150095985,261.9220278675796,0.23707191040488848,1377.8880170916184,0.38274667141433844,243.26432623479505,1481.4591991353739,116,0.232,0.41034247167608917,0.5123701625973144,2.090337995808267e-06,0.0
6,9.538562160916351,264.292642776651,0.2420825266927764,1454.5275376471257,0.4040354271242016,259.04026687356156,1476.0628370118634,103,0.206,0.4063339786457788,0.4776306405728003,2.20214770215105e-06,0.0
5,9.000344589833384,241.75411738379515,0.2194838142490833,1017.9133170670675,0.2827536991852965,254.96680811542726,1454.7114495576598,111,0.222,0.4244129486007333,0.5128927932944364,1.8839168168380092e-06,0.004
7,10.85598402037024,264.88694655596373,0.24257962058670957,1118.2589520209544,0.31062748667248735,256.7843693800858,1518.0651213687345,123,0.246,0.4059363035306323,0.5015700878386143,2.51144455409698e-06,0.0
8,10.72957210604833,231.40694438609782,0.24722886789226522,1068.2185408979099,0.2967273724716416,237.44143769433106,1475.4780047248319,121,0.242,0.4022169056861878,0.5403874587878189,2.5297736785380903e-06,0.02
9,9.137333754534126,228.8022123008494,0.24086675178884617,1335.2857313044356,0.370912703140121,224.72752499541832,1512.7266701626086,123,0.246,0.40730659856892304,0.45900861928507314,2.098922635522096e-06,0.032
10,8.761074661077064,244.36510262015292,0.23931040830207972,1231.1697022658054,0.3419915839627237,233.18501555072132,1509.080098734735,119,0.238,0.4085516733583362,0.5000982122385182,1.9994891684602326e-06,0.002
12,8.543153010710256,236.44860438864845,0.2534460449495698,1361.254365527735,0.3781262126465931,246.13554267015036,1475.2519463198255,104,0.208,0.3972431640403441,0.4919880292554763,2.064922658885502e-06,0.016
13,11.26339197413607,186.42999891282398,0.23670574208960027,1015.6240123650754,0.28211778121252096,173.00770721211669,1545.9685670461756,123,0.246,0.41063540632831974,0.47110835961109315,2.542600207981039e-06,0.18
11,10.157022493198484,225.48218435901006,0.2496333098066213,1096.6317966550619,0.304619943515295,224.51297619113168,1529.0652727357703,126,0.252,0.40029335215470296,0.5221385161311016,2.4180709292959576e-06,0.038
