attacker_fraction,p_analytical,p_monte_carlo,attack_energy_gwh_per_year,honest_effective_power,attacker_effective_power
0.1,0.00014908366003852256,0.0002,0.0038368800000000004,1.8056249999999998,0.11012500000000001
0.11020408163265306,0.0002218796137056193,0.0001,0.00422839836734694,1.7851530612244897,0.12136224489795919
0.12040816326530612,0.00031902254601172376,0.0004,0.004619916734693878,1.7646811224489793,0.13259948979591837
0.1306122448979592,0.0004456330538624688,0.0002,0.005011435102040817,1.744209183673469,0.14383673469387756
0.14081632653061224,0.0006073933908569267,0.0005,0.005402953469387755,1.723737244897959,0.15507397959183675
0.1510204081632653,0.0008105645157498611,0.0005,0.0057944718367346935,1.7032653061224488,0.16631122448979593
0.16122448979591836,0.0010620027233302627,0.0011,0.006185990204081632,1.6827933673469389,0.1775484693877551
0.17142857142857143,0.0013691757563300381,0.0016,0.006577508571428571,1.6623214285714285,0.1887857142857143
0.1816326530612245,0.0017401782875632141,0.002,0.006969026938775512,1.6418494897959184,0.2000229591836735
0.19183673469387755,0.0021837466514284826,0.0019,0.00736054530612245,1.621377551020408,0.21126020408163265
0.2020408163265306,0.0027092726931536412,0.0023,0.007752063673469387,1.600905612244898,0.22249744897959184
0.21224489795918366,0.0033268165926872103,0.0033,0.008143582040816326,1.5804336734693876,0.23373469387755103
0.22244897959183674,0.004047118507917835,0.0033,0.008535100408163266,1.5599617346938772,0.2449719387755102
0.23265306122448978,0.004881608868894814,0.0045,0.008926618775510204,1.5394897959183673,0.2562091836734694
0.24285714285714285,0.0058424171409027625,0.0048,0.009318137142857142,1.519017857142857,0.2674464285714286
0.2530612244897959,0.006942378859581643,0.0073,0.009709655510204083,1.498545918367347,0.27868367346938777
0.26326530612244897,0.00819504072575437,0.0092,0.01010117387755102,1.4780739795918367,0.28992091836734696
0.27346938775510204,0.00961466353120451,0.0088,0.01049269224489796,1.4576020408163266,0.30115816326530614
0.28367346938775506,0.011216222669318356,0.0126,0.010884210612244897,1.4371301020408163,0.3123954081632653
0.29387755102040813,0.013015405966255231,0.014,0.011275728979591835,1.4166581632653061,0.32363265306122446
0.3040816326530612,0.015028608549129567,0.0152,0.011667247346938773,1.3961862244897958,0.33486989795918365
0.3142857142857143,0.017272924447581745,0.0172,0.012058765714285713,1.3757142857142854,0.3461071428571429
0.32448979591836735,0.019766134604089734,0.0205,0.012450284081632654,1.3552423469387753,0.3573443877551021
0.3346938775510204,0.022526690946456592,0.0246,0.012841802448979594,1.3347704081632652,0.36858163265306126
0.3448979591836735,0.025573696153134037,0.0223,0.013233320816326532,1.314298469387755,0.37981887755102045
0.35510204081632657,0.028926878718467008,0.0283,0.013624839183673472,1.2938265306122447,0.39105612244897964
0.36530612244897953,0.03260656290063974,0.0321,0.014016357551020407,1.2733545918367346,0.4022933673469387
0.3755102040816326,0.036633633110173175,0.0365,0.014407875918367343,1.2528826530612245,0.41353061224489795
0.3857142857142857,0.04102949227138682,0.0407,0.014799394285714284,1.2324107142857144,0.42476785714285714
0.39591836734693875,0.045816013663465285,0.0406,0.015190912653061226,1.211938775510204,0.43600510204081633
0.4061224489795918,0.05101548572184973,0.0515,0.01558243102040816,1.1914668367346937,0.4472423469387755
0.4163265306122449,0.05665054925485802,0.0566,0.0159739493877551,1.1709948979591835,0.4584795918367347
0.42653061224489797,0.06274412650502541,0.0606,0.01636546775510204,1.1505229591836734,0.4697168367346939
0.43673469387755104,0.06931934145999911,0.0688,0.01675698612244898,1.130051020408163,0.48095408163265313
0.4469387755102041,0.07639943079436522,0.0779,0.01714850448979592,1.109579081632653,0.4921913265306123
0.4571428571428571,0.08400764480203317,0.085,0.017540022857142856,1.0891071428571428,0.5034285714285713
0.46734693877551015,0.09216713765938458,0.0906,0.01793154122448979,1.0686352040816327,0.5146658163265305
0.4775510204081632,0.10090084634301767,0.102,0.01832305959183673,1.0481632653061226,0.5259030612244898
0.4877551020408163,0.11023135751346538,0.111,0.018714577959183673,1.0276913265306122,0.537140306122449
0.49795918367346936,0.12018076166872929,0.1147,0.019106096326530608,1.007219387755102,0.5483775510204082
0.5081632653061224,0.13077049387004136,0.1314,0.01949761469387755,0.9867474489795918,0.5596147959183674
0.5183673469387755,0.14202116034834053,0.1436,0.01988913306122449,0.9662755102040816,0.5708520408163266
0.5285714285714286,0.15395235031513754,0.1519,0.020280651428571432,0.9458035714285713,0.5820892857142858
0.5387755102040817,0.16658243232764436,0.1652,0.020672169795918367,0.9253316326530612,0.5933265306122449
0.5489795918367346,0.17992833459746035,0.184,0.0210636881632653,0.904859693877551,0.604563775510204
0.5591836734693877,0.1940053086873102,0.1858,0.021455206530612243,0.8843877551020409,0.6158010204081632
0.5693877551020408,0.20882667611427216,0.2041,0.02184672489795918,0.8639158163265308,0.6270382653061224
0.5795918367346938,0.22440355747411314,0.2238,0.022238243265306122,0.8434438775510205,0.6382755102040816
0.5897959183673469,0.240744583823721,0.2417,0.022629761632653057,0.8229719387755102,0.6495127551020408
0.6,0.25785559021186655,0.2562,0.023021279999999995,0.8025,0.6607500000000001
