tx_rate,deadline_latency_ms,effective_deadline_s,deadlock_rate,stall_energy_wh
100.0,1000.0,199.0,0.0,0.0
302.0408163265306,9122.865472719699,190.8771345272803,0.0,0.0
504.0816326530612,25409.829237817576,174.59017076218242,0.0,0.0
706.1224489795918,49860.89129529363,150.13910870470636,0.0,0.0
908.1632653061224,82476.05164514785,117.52394835485215,0.0,0.0
1110.204081632653,123255.31028738026,76.74468971261975,0.0,0.0
1312.2448979591836,172198.66722199082,27.80133277800917,0.07,0.0
1514.2857142857142,229306.12244897956,-29.30612244897955,0.894,0.04861382005346629
1716.3265306122448,294577.67596834654,-94.57767596834651,0.999,0.13549896484729484
1918.3673469387754,368013.32778009155,-168.01332778009157,1.0,0.22400584425109374
2120.408163265306,449613.0778842149,-249.61307788421487,1.0,0.38872200910152616
2322.4489795918366,539376.9262807163,-339.37692628071636,1.0,0.36667377434127735
2524.4897959183672,637304.872969596,-437.304872969596,1.0,0.6557213714653536
2726.530612244898,743396.9179508538,-543.3969179508538,1.0,0.7648519753166143
2928.5714285714284,857653.0612244897,-657.6530612244896,1.0,0.8356921166446784
3130.612244897959,980073.3027905041,-780.073302790504,1.0,0.8189545620484778
3332.6530612244896,1110657.6426488962,-910.6576426488962,1.0,1.1465831691822228
3534.6938775510203,1249406.0807996667,-1049.4060807996666,1.0,1.4802723561616606
3736.734693877551,1396318.6172428154,-1196.3186172428154,1.0,1.81969379726988
3938.7755102040815,1551395.2519783422,-1351.3952519783422,1.0,2.1301128195032684
4140.816326530612,1714635.9850062472,-1514.6359850062472,1.0,2.125377120300879
4342.857142857143,1886040.816326531,-1686.040816326531,1.0,2.2827409758594306
4544.897959183673,2065609.7459391917,-1865.6097459391917,1.0,2.5678685515534996
4746.938775510203,2253342.773844231,-2053.342773844231,1.0,3.083080586269271
4948.9795918367345,2449239.9000416496,-2249.2399000416494,1.0,3.4710652455123476
5151.0204081632655,2653301.1245314456,-2453.3011245314456,1.0,3.435408448347715
5353.061224489796,2865526.447313619,-2665.526447313619,1.0,3.7985558024956756
5555.102040816326,3085915.868388171,-2885.915868388171,1.0,3.7675616615981125
5757.142857142857,3314469.387755102,-3114.469387755102,1.0,3.7034995927839116
5959.183673469388,3551187.005414411,-3351.187005414411,1.0,4.269317529800275
6161.224489795918,3796068.721366097,-3596.068721366097,1.0,5.427005102528402
6363.265306122448,4049114.535610162,-3849.114535610162,1.0,5.768075265468665
6565.306122448979,4310324.448146605,-4110.324448146605,1.0,6.116062035535286
6767.34693877551,4579698.458975428,-4379.6984589754275,1.0,6.395718442995333
6969.3877551020405,4857236.568096626,-4657.236568096626,1.0,5.32080385329364
7171.428571428571,5142938.775510203,-4942.938775510203,1.0,5.992619679528884
7373.469387755102,5436805.08121616,-5236.80508121616,1.0,7.4348729322283855
7575.510204081633,5738835.485214495,-5538.835485214495,1.0,7.350223843238727
7777.551020408163,6049029.987505206,-5849.029987505206,1.0,8.438267435135865
7979.591836734693,6367388.588088296,-6167.388588088296,1.0,8.224834890702317
8181.632653061224,6693911.286963765,-6493.911286963765,1.0,8.116119330356108
8383.673469387755,7028598.084131612,-6828.598084131612,1.0,8.79324876545185
8585.714285714286,7371448.979591838,-7171.448979591838,1.0,9.728228894954066
8787.755102040815,7722463.973344439,-7522.463973344438,1.0,9.133643137571726
8989.795918367347,8081643.065389421,-7881.64306538942,1.0,11.787954884056191
9191.836734693878,8448986.25572678,-8248.98625572678,1.0,10.238842593926297
9393.877551020407,8824493.544356517,-8624.493544356517,1.0,9.547583567790005
9595.918367346938,9208164.931278633,-9008.164931278632,1.0,13.0793087564498
9797.959183673469,9600000.416493127,-9400.000416493127,1.0,10.758029089473709
10000.0,10000000.0,-9800.0,1.0,15.549272167411656
