run_id,plot_size_mb,deadline_s,commitment_ratio,energy_j,energy_wh,avg_block_interval,avg_tx_rate,n_deadlocks,deadlock_rate,p_51_attack,gini,effective_capacity_tib,throughput_efficiency
0,6.564349000271865,184.40023840639256,0.3488974775363106,990.0899027786431,0.27502497299406753,181.5650675269456,1446.517642839328,105,0.21,0.32088201797095145,0.44264521050870304,2.1841857985142288e-06,0.216
1,6.507393085300474,210.17267480118284,0.3286072725207155,990.9271507630535,0.275257541878626,212.94125608288917,1520.0525945836648,125,0.25,0.3371141819834276,0.4782573148943835,2.0393149308974766e-06,0.112
2,7.638961306056798,201.5345770946042,0.3424625578122921,1077.9991490010011,0.29944420805583366,195.75814282913566,1497.739396930294,118,0.236,0.32602995375016625,0.47445139525814645,2.4948675421727547e-06,0.118
3,5.846291230196665,190.6571197677187,0.33955471727639874,1049.2114228492478,0.2914476174581244,196.59888828374434,1408.045882676295,101,0.202,0.328356226178881,0.47399357461272906,1.8931729944085293e-06,0.162
4,5.803870889231255,218.26835655631635,0.3333823740068745,1149.5531155582973,0.3193203098773048,202.7202718623292,1481.4591991353739,116,0.232,0.3332941007945004,0.480587709608659,1.8452723078549436e-06,0.08
5,5.649897271418625,201.46176448649595,0.30864911378777343,849.5199638644176,0.235977767740116,212.47234009618936,1454.7114495576598,111,0.222,0.3530807089697812,0.4834682444466687,1.663051400962179e-06,0.13
6,5.987759222807257,220.24386898054252,0.3404285531617169,1213.6847898089713,0.33713466383582535,215.8668890613013,1476.0628370118634,103,0.206,0.32765715747062646,0.4451764518380499,1.9439737404832848e-06,0.064
8,6.735406579202328,192.8391203217482,0.347665595473498,891.8990731113727,0.24774974253093685,197.8678647452759,1475.4780047248319,121,0.242,0.3218675236212016,0.507243338686012,2.2331897154946267e-06,0.148
7,6.814760688667084,220.73912212996981,0.34112759145006033,933.0307409172123,0.25917520581033676,213.9869744834049,1518.0651213687345,123,0.246,0.3270979268399517,0.46904925745370857,2.2170094490371293e-06,0.06
9,5.7358911686668375,190.66851025070784,0.338718869703065,1113.8580602159777,0.3094050167266605,187.27293749618192,1512.7266701626086,123,0.246,0.329024904237548,0.42671742037338095,1.8528505071550593e-06,0.152
10,5.499697409166697,203.6375855167941,0.33653026167479966,1027.387720048217,0.2853854777911714,194.32084629226776,1509.080098734735,119,0.238,0.3307757906601602,0.46801566062552064,1.7650743563071121e-06,0.11
11,6.37599295196786,187.90182029917506,0.35104684191556124,915.2851664611666,0.2542458795725463,187.09414682594308,1529.0652727357703,126,0.252,0.319162526467551,0.48867205053515145,2.1345827005998554e-06,0.148
12,5.362898764903537,197.04050365720704,0.3564085007103326,1135.6108397521348,0.3154474554867041,205.1129522251253,1475.2519463198255,104,0.208,0.3148731994317339,0.45801041885442456,1.8228365976911203e-06,0.138
13,7.070507906272051,155.3583324273533,0.3328674498135004,847.7062444915712,0.2354739568032142,144.17308934343052,1545.9685670461756,123,0.246,0.33370604014919963,0.4393749960622061,2.2445124966115666e-06,0.276
14,5.477107638759147,204.82911272159825,0.36467108843295076,1175.2829164678744,0.3264674767966318,210.78627578286512,1596.0521692102309,133,0.266,0.30826312925363936,0.4478294008998274,1.9048145333201666e-06,0.102
15,6.589706396994096,206.90766467901403,0.361160557495621,1143.2634696507175,0.3175731860140882,207.0197641724767,1519.8887519810014,130,0.26,0.31107155400350317,0.43008050227135514,2.269689594336364e-06,0.098
16,5.735932118584884,201.3809560447488,0.3054274744561815,908.2563223978595,0.2522934228882943,195.29385250112122,1549.1400649355464,130,0.26,0.3556580204350548,0.48271276773855215,1.6707527738871343e-06,0.134
17,5.329222536368702,224.03492893821087,0.3666861403074151,1094.41029388239,0.304002859411775,218.21086171006382,1440.9958077818355,103,0.206,0.3066510877540679,0.44053405203735946,1.8636246134761164e-06,0.044
18,5.287576251025756,194.57018858695147,0.34982656865508543,932.8224310701052,0.2591173419639181,192.73671023633983,1427.3011237012663,109,0.218,0.3201387450759316,0.4495292808045285,1.764044433973752e-06,0.194
19,5.7437508737877225,184.15138727951407,0.3536303388907966,825.3357194449536,0.22925992206804266,190.436898941088,1488.4772027607926,114,0.228,0.3170957288873627,0.47504341192849603,1.9370694808977714e-06,0.19
20,5.314852165154391,177.87776782269998,0.3303718679926153,815.4293067462448,0.22650814076284578,192.2623047504681,1519.38755825477,121,0.242,0.3357025056059077,0.484411889946325,1.6745354060236474e-06,0.192
21,6.947861309420398,234.84206492631094,0.31229215866387783,1190.5012724426751,0.3306947979007431,239.69895870791171,1446.9224028060135,112,0.224,0.3501662730688977,0.4519701460990408,2.0692468704377487e-06,0.014
22,5.785407474971517,197.30549356250816,0.3156825710280692,1048.857839906109,0.2913493999739191,209.86070062149577,1482.2083722362202,118,0.236,0.34745394317754463,0.4554633942716699,1.741745287078875e-06,0.176
24,6.786867553291413,191.9012374531347,0.3300168874353542,918.8355194363709,0.2552320887323252,182.39029040023848,1454.197734959712,107,0.214,0.3359864900517166,0.46513318289740396,2.1360215238315867e-06,0.172
23,5.229866940507361,202.93192001072694,0.3563428582539764,902.8790554426913,0.2507997376229698,208.47259275976577,1569.4196686944179,131,0.262,0.31492571339681885,0.4544165952389059,1.7772919977840154e-06,0.118
25,5.737459494438083,200.2881630209599,0.3357952844581009,1003.5122650551195,0.2787534069597554,210.55399624090117,1519.6351568644177,129,0.258,0.3313637724335192,0.46316336533208335,1.837360232354801e-06,0.114
26,8.035919421549934,212.93312974755617,0.34829039377330423,1089.3365790634266,0.30259349418428516,210.34474606289854,1475.792343654294,112,0.224,0.3213676849813566,0.4766065737580435,2.6691756626722047e-06,0.108
27,6.950027065989688,205.07902617270335,0.3779246242820222,938.6922783235893,0.2607478550898859,200.68087668021303,1484.2357406465183,121,0.242,0.2976603005743822,0.47343511723291404,2.5049079586639766e-06,0.132
28,6.19902799839928,184.82344008432543,0.3512651260494515,903.8258745472838,0.2510627429298011,185.6813989595362,1479.8963442371908,114,0.228,0.3189878991604388,0.4111941481522139,2.0766280662935275e-06,0.194
29,6.323299565496976,207.7724526704689,0.33582786534765463,999.2750943368385,0.27757641509356623,208.9399112044391,1463.914424288022,106,0.212,0.33133770772187626,0.46224877397548386,2.0251657438608184e-06,0.088
30,5.332677864835392,199.57553451273228,0.346395220629634,903.2844390092453,0.2509123441692348,194.79264771269467,1527.9280282289703,123,0.246,0.32288382349629274,0.43821578241454645,1.7616406684269153e-06,0.114
31,5.247951693858798,211.67131748239436,0.3317042934848918,1062.9447830547238,0.2952624397374233,206.25067944684625,1489.305467747138,124,0.248,0.33463656521208657,0.4822932677360614,1.6601258362333998e-06,0.102
32,6.509520140462517,203.0976680759026,0.34868987822161795,1013.6395741023223,0.2815665483617562,194.3334287898695,1485.702225111712,118,0.236,0.3210480974227056,0.4728690144977374,2.164653573092503e-06,0.148
33,5.233632703208559,205.94570312096448,0.34366902436766633,1112.6071628521338,0.3090575452367038,211.78372502584307,1517.0318241630434,128,0.256,0.3250647805058669,0.4724704783162168,1.715314335832975e-06,0.134
35,6.680217256618615,191.4374366467033,0.37781462172527586,871.7480017762597,0.2421522227156277,199.0347433617268,1462.9604092230804,118,0.236,0.29774830261977925,0.44385142875901673,2.406963115551016e-06,0.166
34,5.740056718715367,226.26244496469369,0.3523860600142024,1239.4190569333248,0.344283071370368,218.42222464128204,1521.930322729704,124,0.248,0.318091151988638,0.4749311158026738,1.929012271276626e-06,0.032
36,5.64037600095372,205.9335579179888,0.3317040968572374,974.7830672308603,0.27077307423079455,197.67045114278415,1448.5615213576198,113,0.226,0.33463672251421006,0.48532152082040153,1.7842634461704158e-06,0.12
37,6.861754210376187,188.99878121100414,0.34372714905289725,933.8411442470447,0.2594003178464013,186.0903477549048,1487.1166583778872,112,0.224,0.3250182807576822,0.4454553704333491,2.2493087885230262e-06,0.19
38,7.185401478189526,193.83135079250582,0.3286863212858651,891.5935295909984,0.2476648693308329,184.77251544232877,1550.817758855649,124,0.248,0.3370509429713079,0.45284263295268457,2.252333811596043e-06,0.128
39,6.810511622015639,211.6251450523918,0.326579897377859,1151.8091493347356,0.31994698592631543,205.9379174012469,1455.448745145953,118,0.236,0.3387360820977128,0.4556497733584302,2.1211397043310005e-06,0.096
40,7.904684759096423,215.40464198732175,0.3543339144464019,993.6730434248383,0.27602028984023286,218.2094599246347,1503.7506000493793,113,0.226,0.3165328684428785,0.4429436621915467,2.6711443835787284e-06,0.058
